Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
J.J. Redick,11,2.0,2.6,1.4,0.1,26.8,8.77,.630,.398,76,190,22,0
Hilton Armstrong,12,6.6,0.7,0.6,3.1,9.7,6.57,.640,.686,83,235,22,0
Ronnie Brewer,14,4.8,3.3,2.6,0.5,18.4,6.17,.547,.430,79,220,21,0
Cedric Simmons,15,6.3,1.7,0.7,2.5,11.8,5.63,.626,.812,81,235,20,0
Rodney Carney,16,4.3,1.3,1.3,0.7,17.2,4.24,.560,.261,79,205,22,0
Shawne Williams,17,6.2,1.9,1.4,1.4,13.2,4.24,.534,.387,81,225,20,0
Quincy Douby,19,4.3,3.1,1.8,0.8,25.4,5.16,.595,.283,75,175,22,0
Renaldo Balkman,20,6.3,1.9,1.7,1.3,9.6,8.14,.608,.416,80,208,22,0
Greg Oden,1,9.6,0.7,0.6,3.3,15.7,9.03,.626,.638,84,250,19,0
Kevin Durant,2,11.1,1.3,1.9,1.9,25.8,6.12,.587,.396,81,215,19,1
Al Horford,3,9.5,2.2,0.7,1.8,13.2,7.33,.624,.660,82,245,21,1
Mike Conley,4,3.4,6.1,2.2,0.3,11.3,9.03,.584,.466,73,180,20,0
Jeff Green,5,6.4,3.2,0.8,1.2,14.3,9.48,.596,.338,81,235,21,0
Corey Brewer,7,4.7,2.9,1.9,0.4,13.2,7.33,.570,.435,81,185,21,0
Brandan Wright,8,6.2,1.0,1.0,1.8,14.7,9.30,.637,.445,81,205,20,0
Joakim Noah,9,8.4,2.3,1.1,1.8,12.0,7.33,.631,.698,83,232,22,1
Spencer Hawes,10,6.4,1.9,0.5,1.7,14.9,6.50,.563,.270,84,245,19,0
Acie Law,11,3.3,5.0,1.1,0.0,18.1,5.12,.591,.428,75,195,22,0
Thaddeus Young,12,4.9,2.0,1.3,0.4,14.4,9.36,.552,.189,80,220,19,0
Julian Wright,13,7.8,2.2,1.4,1.3,12.0,6.86,.566,.344,80,225,20,0
Al Thornton,14,7.2,0.7,1.5,1.1,19.7,8.63,.616,.457,80,220,24,0
Rodney Stuckey,15,4.7,5.5,2.4,0.3,24.6,-2.94,.573,.507,77,205,21,0
Nick Young,16,4.6,1.4,0.7,0.3,17.5,7.87,.610,.349,78,200,22,0
Sean Williams,17,6.9,1.2,1.4,5.0,12.1,9.21,.595,.696,82,235,21,0
Javaris Crittenton,19,3.7,5.8,2.0,0.1,14.4,9.36,.552,.393,77,200,20,0
Jason Smith,20,10.1,1.9,0.5,1.6,16.8,3.71,.635,.662,84,240,21,0
Derrick Rose,1,4.5,4.7,1.2,0.4,14.9,5.76,.560,.470,75,190,20,1
Michael Beasley,2,12.4,1.2,1.3,1.6,26.2,7.79,.610,.484,81,235,19,0
O.J. Mayo,3,4.5,3.3,1.5,0.4,20.7,8.59,.562,.284,76,210,21,0
Russell Westbrook,4,3.9,4.3,1.6,0.2,12.7,7.71,.538,.384,75,187,20,1
Kevin Love,5,10.6,1.9,0.7,1.4,17.5,7.71,.644,.635,82,260,20,1
Eric Gordon,7,3.3,2.4,1.3,0.6,20.9,6.08,.601,.652,75,222,20,0
Joe Alexander,8,6.4,2.4,0.7,1.5,16.9,7.16,.536,.409,80,230,22,0
D.J. Augustin,9,2.9,5.8,1.2,0.0,19.2,8.59,.557,.401,72,180,21,0
Brook Lopez,10,8.2,1.4,0.6,2.1,19.3,6.95,.537,.494,84,260,20,0
Jerryd Bayless,11,2.7,4.0,1.0,0.1,19.7,10.22,.612,.590,75,200,20,0
Jason Thompson,12,12.1,2.7,1.1,2.7,20.4,-3.72,.579,.466,83,250,22,0
Brandon Rush,13,5.1,2.1,0.8,0.8,13.3,8.20,.557,.208,78,210,23,0
Anthony Randolph,14,8.5,1.2,1.1,2.3,15.6,5.66,.511,.421,82,205,19,0
Robin Lopez,15,5.7,0.6,0.5,2.3,10.2,6.95,.565,.504,84,255,20,0
Marreese Speights,16,8.1,0.9,0.4,1.4,14.5,4.98,.640,.376,82,245,21,0
Roy Hibbert,17,6.4,1.9,0.5,2.2,13.4,7.23,.626,.490,86,278,22,0
JaVale McGee,18,7.3,0.6,0.8,2.8,14.1,-0.11,.550,.395,84,237,20,0
J.J. Hickson,19,8.5,1.0,0.7,1.5,14.8,9.06,.621,.707,81,242,20,0
Blake Griffin,1,14.4,2.3,1.1,1.2,22.7,6.88,.648,.706,82,251,20,1
Hasheem Thabeet,2,10.8,0.5,0.6,4.2,13.6,8.57,.646,.763,87,263,22,0
James Harden,3,5.6,4.2,1.7,0.3,20.1,7.82,.607,.597,77,218,20,1
Tyreke Evans,4,5.4,3.9,2.1,0.8,17.1,4.63,.529,.384,78,219,20,0
Jonny Flynn,6,2.7,6.7,1.4,0.2,17.4,9.48,.567,.481,72,185,20,0
Stephen Curry,7,4.4,5.6,2.5,0.2,28.6,-3.33,.604,.365,75,185,21,1
Jordan Hill,8,11.0,1.5,0.9,1.7,18.3,8.80,.560,.382,82,235,22,0
DeMar DeRozan,9,5.7,1.5,0.9,0.4,13.9,9.15,.555,.401,79,220,20,1
Terrence Williams,11,8.6,5.0,2.3,0.8,12.5,8.41,.517,.298,78,220,22,0
Gerald Henderson,12,3.4,2.5,2.1,0.2,16.1,-5.87,.518,.321,74,175,22,0
Tyler Hansbrough,13,8.1,1.0,1.2,0.4,20.7,8.35,.613,.682,81,250,24,0
Earl Clark,14,8.7,3.2,1.0,1.4,14.2,8.41,.517,.314,81,225,21,0
Austin Daye,15,6.8,1.1,0.7,2.1,12.7,3.55,.560,.327,83,200,21,0
James Johnson,16,3.3,3.5,1.3,0.1,16.5,-5.80,.496,.293,72,195,22,0
Jrue Holiday,17,3.8,3.7,1.6,0.5,8.5,7.18,.532,.249,75,180,19,0
Ty Lawson,18,3.0,6.6,2.1,0.1,16.6,8.35,.659,.608,71,195,22,0
Jeff Teague,19,3.3,3.5,1.9,0.6,18.8,7.36,.615,.590,74,180,21,0
Eric Maynor,20,3.6,6.2,1.7,0.2,22.4,-0.65,.583,.453,74,175,22,0
John Wall,1,4.3,6.5,1.8,0.5,16.6,6.82,.562,.530,76,195,20,1
Evan Turner,2,9.2,6.0,1.7,0.9,20.4,7.37,.581,.400,79,210,22,0
Derrick Favors,3,8.4,1.0,0.9,2.1,12.4,9.02,.621,.488,82,246,19,0
Wesley Johnson,4,1.9,0.2,0.3,0.3,1.9,-2.59,.605,1.250,80,210,23,0
DeMarcus Cousins,5,9.8,1.0,1.0,1.8,15.1,6.82,.579,.726,83,270,20,1
Ekpe Udoh,6,9.8,2.7,0.8,3.7,13.9,8.03,.535,.415,82,240,23,0
Greg Monroe,7,9.6,3.8,1.2,1.5,16.1,9.55,.567,.543,83,247,20,0
Al-Farouq Aminu,8,10.7,1.3,1.4,1.4,15.8,8.85,.524,.532,81,215,20,0
Gordon Hayward,9,8.2,1.7,1.1,0.8,15.5,5.08,.601,.579,80,207,20,0
Paul George,10,7.2,3.0,2.2,0.8,16.8,1.31,.572,.364,79,210,20,1
Cole Aldrich,11,9.8,0.9,0.8,3.5,11.3,8.25,.596,.600,83,245,22,0
Xavier Henry,12,4.4,1.5,1.5,0.5,13.4,8.25,.591,.325,78,220,19,0
Ed Davis,13,9.6,1.0,0.4,2.8,13.4,9.83,.607,.688,82,225,21,0
Patrick Patterson,14,7.4,0.9,0.7,1.3,14.3,6.82,.624,.348,81,235,21,0
Larry Sanders,15,9.1,1.0,0.7,2.6,14.4,0.64,.563,.455,82,235,22,0
Luke Babbitt,16,8.9,2.1,1.0,0.8,21.9,2.56,.614,.432,81,225,21,0
Eric Bledsoe,18,3.1,2.9,1.4,0.3,11.3,6.82,.566,.394,73,190,21,0
Avery Bradley,19,2.9,2.1,1.3,0.5,11.6,7.38,.496,.179,74,180,20,0
James Anderson,20,1.3,0.2,0.2,0.6,1.1,5.76,.316,.605,82,240,21,0
Kyrie Irving,1,3.4,4.3,1.5,0.5,17.5,8.31,.697,.683,74,180,19,1
Derrick Williams,2,3.2,3.2,1.3,0.0,11.1,-9.79,.599,.438,80,240,20,0
Tristan Thompson,4,3.2,1.8,0.7,0.1,18.0,-5.07,.639,.735,77,193,20,0
Brandon Knight,8,4.0,4.2,0.7,0.2,17.3,8.91,.553,.333,75,185,20,0
Kemba Walker,9,5.4,4.5,1.9,0.2,23.5,10.44,.543,.426,73,172,21,1
Jimmer Fredette,10,3.4,4.3,1.3,0.0,28.9,5.76,.594,.369,74,195,22,0
Klay Thompson,11,5.2,3.7,1.6,0.9,21.6,6.81,.574,.336,78,200,21,1
Alec Burks,12,6.5,2.9,1.1,0.3,20.5,5.61,.574,.564,78,195,20,0
Markieff Morris,13,8.3,1.4,0.8,1.1,13.6,7.62,.642,.462,82,245,22,0
Marcus Morris,14,7.6,1.6,0.8,0.6,17.2,7.62,.625,.511,81,235,22,0
Kawhi Leonard,15,10.6,2.5,1.4,0.6,15.5,6.36,.512,.305,79,225,20,1
Nikola Vučević,16,10.3,1.6,0.5,1.4,17.1,7.96,.578,.383,82,220,21,0
Iman Shumpert,17,5.9,3.5,2.7,0.2,17.3,5.68,.517,.401,77,212,21,0
Chris Singleton,18,6.8,1.2,2.0,1.5,13.1,6.45,.531,.441,81,220,22,0
Tobias Harris,19,7.3,1.3,0.7,0.9,15.3,8.73,.540,.423,80,226,19,0
Anthony Davis,1,5.2,2.8,1.7,0.6,15.2,-1.97,.484,.272,74,205,19,1
Michael Kidd-Gilchrist,2,7.4,1.9,1.0,0.9,11.9,7.93,.570,.589,79,232,19,0
Bradley Beal,3,6.7,2.2,1.4,0.8,14.8,7.33,.575,.440,75,207,19,0
Dion Waiters,4,2.3,2.5,1.8,0.3,12.6,8.02,.565,.331,76,215,21,0
Thomas Robinson,5,11.9,1.8,1.1,0.9,17.7,9.93,.549,.462,81,237,21,0
Damian Lillard,6,5.0,4.0,1.5,0.2,24.5,-3.65,.635,.519,74,185,22,1
Harrison Barnes,7,5.2,1.1,1.1,0.3,17.1,7.07,.528,.374,80,215,20,0
Terrence Ross,8,6.4,1.4,1.3,0.9,16.4,5.27,.558,.200,78,195,21,0
Andre Drummond,9,7.6,0.4,0.8,2.7,10.0,8.07,.509,.301,82,270,19,1
Austin Rivers,10,3.4,2.1,1.0,0.0,15.5,8.40,.538,.458,76,200,20,0
Meyers Leonard,11,8.2,1.3,0.5,1.9,13.6,7.99,.618,.436,85,245,20,0
Jeremy Lamb,12,4.9,1.7,1.2,0.6,17.7,8.07,.589,.267,77,180,20,0
Kendall Marshall,13,2.6,9.8,1.2,0.2,8.1,7.07,.558,.351,76,195,21,0
John Henson,14,9.9,1.3,0.6,2.9,13.7,7.07,.505,.329,83,220,22,0
Maurice Harkless,15,8.6,1.5,1.6,1.4,15.5,6.98,.504,.326,80,208,19,0
Royce White,16,9.3,5.0,1.2,0.9,13.4,7.32,.536,.625,80,270,21,0
Tyler Zeller,17,9.6,0.9,0.9,1.5,16.3,7.07,.616,.563,84,250,22,0
Terrence Jones,18,7.2,1.3,1.3,1.8,12.3,7.93,.547,.446,81,252,20,0
Andrew Nicholson,19,8.4,1.0,0.7,2.0,18.5,2.84,.638,.429,81,240,23,0
Anthony Bennett,1,8.1,1.0,0.7,1.2,16.1,5.71,.609,.467,80,240,20,0
Victor Oladipo,2,6.3,2.1,2.2,0.8,13.6,8.38,.671,.428,77,214,21,1
Otto Porter,3,7.5,2.7,1.8,0.9,16.2,7.59,.590,.449,80,205,20,0
Cody Zeller,4,8.0,1.3,1.0,1.3,16.5,8.38,.624,.734,84,240,21,0
Alex Len,5,7.8,1.0,0.2,2.1,11.9,4.66,.570,.472,85,225,20,0
Nerlens Noel,6,9.5,1.6,2.1,4.4,10.5,5.78,.583,.627,82,228,19,0
Ben McLemore,7,5.2,2.0,1.0,0.7,15.9,7.54,.633,.345,77,195,20,0
Kentavious Caldwell-Pope,8,7.1,1.8,2.0,0.5,18.5,6.09,.579,.393,77,205,20,0
Trey Burke,9,3.2,6.7,1.6,0.5,18.6,10.05,.569,.296,72,190,21,0
CJ McCollum,10,5.0,2.9,1.4,0.3,23.9,-3.01,.628,.376,75,180,22,0
Michael Carter-Williams,11,5.0,7.3,2.7,0.5,11.9,8.57,.491,.472,78,185,22,0
Steven Adams,12,6.3,0.6,0.7,2.0,7.2,5.63,.555,.400,84,250,20,0
Kelly Olynyk,13,7.3,1.7,0.7,1.1,17.8,4.18,.675,.497,84,238,22,0
Shabazz Muhammad,14,5.2,0.8,0.7,0.1,17.9,7.82,.528,.395,78,225,21,0
Shane Larkin,18,3.8,4.6,2.0,0.1,14.5,7.88,.600,.293,71,176,21,0
Tony Snell,20,2.6,2.9,0.8,0.5,12.5,6.63,.562,.299,79,200,22,0
Andrew Wiggins,1,5.9,1.5,1.2,1.0,17.1,11.40,.563,.538,80,200,19,0
Jabari Parker,2,8.7,1.2,1.1,1.2,19.1,8.48,.558,.429,80,235,19,0
Joel Embiid,3,8.1,1.4,0.9,2.6,11.2,11.40,.655,.836,84,250,20,1
Aaron Gordon,4,8.0,2.0,0.9,1.0,12.4,9.04,.503,.471,81,225,19,0
Marcus Smart,6,5.9,4.8,2.9,0.6,18.0,8.34,.552,.648,76,220,20,0
Julius Randle,7,10.4,1.4,0.5,0.8,15.0,9.89,.567,.739,81,250,20,0
Nik Stauskas,8,2.9,3.3,0.6,0.3,17.5,9.65,.642,.518,78,205,21,0
Noah Vonleh,9,9.0,0.6,0.9,1.4,11.3,6.64,.604,.620,82,240,19,0
Elfrid Payton,10,6.0,5.9,2.3,0.6,19.2,-0.28,.551,.648,75,180,20,0
Doug McDermott,11,7.0,1.6,0.2,0.1,26.7,7.17,.644,.329,80,225,22,0
Zach LaVine,13,2.5,1.8,0.9,0.2,9.4,7.62,.545,.236,77,180,19,0
T.J. Warren,14,7.1,1.1,1.8,0.6,24.9,7.44,.574,.347,80,233,21,0
Adreian Payne,15,7.3,1.3,0.5,0.9,16.4,9.38,.607,.390,82,245,23,0
James Young,17,4.3,1.7,0.8,0.2,14.3,9.89,.536,.393,78,215,19,0
Tyler Ennis,18,3.4,5.5,2.1,0.2,12.9,7.25,.511,.414,74,180,20,0
Gary Harris,19,4.0,2.7,1.8,0.4,16.7,9.38,.561,.312,76,210,20,0
Karl-Anthony Towns,1,6.7,1.1,0.5,2.3,10.3,8.67,.627,.523,83,250,20,1
D'Angelo Russell,2,5.7,5.0,1.6,0.3,19.3,7.37,.573,.303,77,180,19,0
Jahlil Okafor,3,8.5,1.3,0.8,1.4,17.3,9.87,.641,.462,83,270,20,0
Willie Cauley-Stein,6,6.4,1.0,1.2,1.7,8.9,8.67,.588,.542,84,240,22,0
Stanley Johnson,8,6.5,1.7,1.5,0.4,13.8,7.41,.551,.456,78,225,19,0
Frank Kaminsky,9,8.2,2.6,0.8,1.5,18.8,10.29,.628,.410,84,242,22,0
Justise Winslow,10,6.5,2.1,1.3,0.9,12.6,9.87,.572,.438,78,225,19,0
Myles Turner,11,6.5,0.6,0.3,2.6,10.1,9.07,.556,.436,83,240,19,0
Trey Lyles,12,5.2,1.1,0.5,0.4,8.7,8.67,.543,.425,82,235,20,0
Devin Booker,13,7.5,0.8,0.6,1.1,13.1,4.44,.568,.473,80,250,19,0
Cameron Payne,14,3.7,6.0,1.9,0.5,20.2,-2.81,.573,.315,74,180,21,0
Kelly Oubre,15,5.0,0.8,1.1,0.4,9.3,12.13,.555,.444,79,200,20,0
Terry Rozier,16,5.6,3.0,2.0,0.2,17.1,8.98,.509,.338,73,190,21,0
Rashad Vaughn,17,4.8,1.6,0.8,0.3,17.8,3.38,.547,.299,78,210,19,0
Sam Dekker,18,5.5,1.2,0.5,0.5,13.9,10.29,.605,.278,81,230,21,0
Jerian Grant,19,3.0,6.7,1.7,0.5,16.5,7.02,.592,.511,77,203,23,0
Delon Wright,20,4.9,5.1,2.1,1.0,14.5,7.42,.619,.565,77,178,23,0
