Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Isaiah Rider,5,8.9,2.5,1.5,0.6,29.1,3.07,.617,.431,77,215,22,0
Calbert Cheaney,6,6.4,2.4,0.9,0.3,22.4,11.09,.622,.301,79,209,22,0
Bobby Hurley,7,2.6,8.2,1.5,0.0,17.0,10.76,.596,.477,72,165,22,0
Vin Baker,8,10.7,1.9,1.4,2.6,28.3,-6.08,.526,.376,83,232,22,1
Rodney Rogers,9,7.4,2.3,1.8,0.9,21.2,9.32,.612,.434,79,235,22,0
Lindsey Hunter,10,3.4,3.4,2.6,0.4,26.7,-3.63,.520,.259,74,170,23,0
Allan Houston,11,4.8,3.1,0.9,0.3,22.3,8.75,.616,.414,78,200,22,0
George Lynch,12,9.6,1.9,2.3,0.6,14.7,11.25,.527,.281,80,218,23,0
Terry Dehere,13,3.0,2.7,1.1,0.2,22.0,9.07,.599,.470,74,190,22,0
Scott Haskin,14,8.1,0.7,0.6,1.9,16.7,9.07,.549,.450,83,250,23,0
Doug Edwards,15,9.4,2.9,1.4,1.4,18.3,11.44,.569,.373,79,220,22,0
Rex Walters,16,2.7,4.3,1.1,0.2,15.3,10.88,.648,.345,76,190,23,0
Greg Graham,17,3.2,2.9,1.3,0.2,16.5,11.09,.688,.593,76,174,23,0
Luther Wright,18,7.5,0.8,1.1,2.2,9.0,9.07,.546,.320,86,270,22,0
Acie Earl,19,8.9,1.3,1.3,2.8,16.9,8.14,.548,.483,82,240,23,0
Scott Burrell,20,6.0,2.1,2.4,1.1,16.1,8.06,.521,.295,79,218,22,0
Glenn Robinson,1,10.1,1.9,1.6,0.9,30.3,9.90,.578,.354,79,225,21,0
Jason Kidd,2,6.9,9.1,3.1,0.3,16.7,7.14,.578,.480,76,205,21,1
Grant Hill,3,6.9,5.2,1.9,1.2,17.4,8.92,.537,.350,80,225,22,1
Donyell Marshall,4,8.9,1.6,1.3,3.3,25.1,6.31,.589,.443,81,218,21,0
Juwan Howard,5,8.9,2.4,1.5,0.7,20.8,12.04,.578,.322,81,240,21,1
Sharone Wright,6,10.6,1.2,0.7,2.9,15.4,6.82,.562,.658,83,260,21,0
Lamond Murray,7,7.9,2.1,1.5,1.0,24.3,7.14,.562,.378,79,236,21,0
Brian Grant,8,9.9,1.6,0.9,1.6,16.7,0.87,.598,.528,81,254,22,0
Eric Montross,9,8.1,0.8,0.5,1.8,13.6,9.36,.566,.602,84,270,23,0
Eddie Jones,10,6.8,1.9,2.3,1.5,19.2,8.34,.537,.271,78,190,23,1
Carlos Rogers,11,11.5,1.5,0.7,3.0,24.5,-2.78,.632,.588,83,220,23,0
Khalid Reeves,12,4.3,2.9,1.8,0.1,24.2,8.84,.608,.462,75,199,22,0
Jalen Rose,13,5.7,3.9,1.2,0.2,19.9,12.04,.560,.403,80,210,21,0
Yinka Dare,14,10.3,0.6,0.7,1.9,15.4,6.38,.554,.553,84,265,22,0
Eric Piatkowski,15,6.3,2.7,1.5,0.7,21.5,6.84,.604,.362,79,215,24,0
Clifford Rozier,16,11.1,1.6,0.9,2.2,18.1,7.35,.608,.560,83,245,22,0
Aaron McKie,17,7.2,3.2,1.9,0.3,18.8,8.34,.519,.349,77,209,22,0
Eric Mobley,18,8.8,2.0,0.7,2.8,13.7,9.95,.559,.447,83,235,24,0
Tony Dumas,19,5.7,3.0,1.7,0.7,26.0,-1.24,.551,.537,78,190,22,0
B.J. Tyler,20,3.4,6.3,3.1,0.3,22.8,3.00,.575,.320,73,185,23,0
Joe Smith,1,10.6,1.2,1.5,2.9,20.8,10.36,.634,.665,82,225,20,0
Antonio McDyess,2,10.2,0.6,0.8,2.0,13.9,6.59,.540,.366,81,220,21,1
Jerry Stackhouse,3,8.2,2.7,1.5,1.7,19.2,13.01,.604,.625,78,218,21,0
Rasheed Wallace,4,8.2,1.0,0.5,2.7,16.6,13.01,.657,.387,82,225,21,0
